"vectorField:0","vectorField:1","vectorField:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0,0.001,0,0,-1.598e-20,0,0,0,0,1,0,0,-79.591,20.832,62.943
0.72086,0.25271,0.54091,0,-0.15124,0.034829,0.06124,0,-0.071686,-0.6094,0.04956,0.79132,-122.23,-33.646,17.196
0.71398,0.25688,0.53307,0.72584,-0.1431,0.053703,0.047955,-0.0506,-0.067739,-0.59897,0.00096171,0.80077,-121.7,-33.461,17.587
0.71843,0.26571,0.53782,1.3337,-0.13146,0.072168,0.028336,-0.090685,-0.064141,-0.58984,-0.037624,0.80665,-121.27,-33.303,17.911
0.72356,0.27186,0.54307,1.6771,-0.12291,0.1287,-0.0028656,-0.11178,-0.058751,-0.585,-0.058041,0.80895,-121.02,-33.211,18.096
0.72758,0.27578,0.54589,2.0185,-0.11534,0.14771,-0.01539,-0.13108,-0.054275,-0.57961,-0.076421,0.8113,-120.78,-33.117,18.281
0.73892,0.27983,0.55354,2.3859,-0.062433,0.042494,-0.025507,-0.15025,-0.050129,-0.57192,-0.093852,0.81493,-120.51,-33.016,18.482
0.70355,0.27216,0.52071,4.1464,-0.095158,0.068318,0.0080375,-0.2368,-0.048187,-0.54158,-0.17459,0.82232,-119.2,-32.52,19.448
0.69724,0.27396,0.51742,4.4344,-0.096195,0.11878,-0.001091,-0.24929,-0.038546,-0.53725,-0.1863,0.82259,-119,-32.442,19.598
0.6935,0.27657,0.51591,4.7271,-0.096238,0.13107,-0.00296,-0.26009,-0.035281,-0.53375,-0.19654,0.82249,-118.8,-32.361,19.75
0.70108,0.28376,0.52377,5.1998,-0.09552,0.15138,-0.0075749,-0.27562,-0.030411,-0.52857,-0.21119,0.8222,-118.47,-32.229,19.994
0.7201,0.29169,0.53894,5.6053,-0.16981,0.17044,0.04594,-0.29204,-0.050559,-0.52033,-0.22557,0.82364,-118.19,-32.114,20.206
0.68987,0.27246,0.49954,7.4015,-0.12974,0.13448,0.031288,-0.37484,-0.041635,-0.48146,-0.29906,0.82387,-116.88,-31.599,21.166
0.67247,0.26986,0.48161,8.6155,-0.12059,0.18576,0.001138,-0.42133,-0.034961,-0.45509,-0.33822,0.82371,-116.05,-31.264,21.769
0.70051,0.27984,0.50115,9.1616,-0.11866,0.20864,-0.011114,-0.44001,-0.033463,-0.44625,-0.35456,0.82167,-115.68,-31.117,22.032
